condition,inputs,target,context distance,results,coded response,ce loss
MATCH_NO_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0., 0., 0., 0.]), array([9.55262132e-01, 3.40603991e-05, 3.12159982e-05, 9.13243449e-05,
       2.86286818e-04, 6.69941843e-04, 6.02149199e-04, 3.72677047e-04,
       8.44535075e-04, 1.67537366e-03, 4.15370304e-03, 3.82487844e-03,
       9.97180776e-03, 1.09307045e-02, 1.38399969e-02, 1.83075181e-02,
       4.31245674e-02, 3.32514186e-02, 3.70015481e-02, 5.43597026e-02,
       2.69005887e-01, 1.09312852e-01, 3.34694134e-01, 8.91961215e-01,
       1.00490911e-04]), array([9.94979024e-01, 6.08651416e-08, 6.39715011e-08, 1.69121402e-07,
       8.03550856e-07, 3.31748646e-06, 4.14907897e-06, 3.45954486e-06,
       7.87221622e-06, 1.99361019e-05, 7.91421512e-05, 1.00718959e-04,
       3.62454973e-04, 5.42186226e-04, 8.62100453e-04, 1.41135263e-03,
       4.52432078e-03, 4.75524888e-03, 6.25629577e-03, 1.05162311e-02,
       1.13870623e-01, 7.31950263e-02, 2.28429059e-01, 9.64002149e-01,
       1.04649300e-07]))","[1, 0]",0.012435713269932203,"[array([ 1.27991459, -1.32422879])]","('match', 'MATCH_NO_FOIL')",0.0714
MATCH_WITH_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0., 0., 0., 0.]), array([9.55262132e-01, 3.40603991e-05, 3.12159982e-05, 9.13243449e-05,
       2.86286818e-04, 6.69941843e-04, 6.02149199e-04, 3.72677047e-04,
       8.44535075e-04, 1.67537366e-03, 4.15370304e-03, 3.82487844e-03,
       9.97180776e-03, 1.09307045e-02, 1.38399969e-02, 1.83075181e-02,
       4.31245674e-02, 3.32514186e-02, 3.70015481e-02, 5.43597026e-02,
       2.69005887e-01, 1.09312852e-01, 3.34694134e-01, 8.91961215e-01,
       1.00490911e-04]), array([9.80016579e-01, 2.39835838e-06, 2.35537477e-06, 6.31485267e-06,
       2.32970921e-05, 6.91965922e-05, 7.29627848e-05, 5.28493019e-05,
       1.17063261e-04, 2.57113527e-04, 7.75146822e-04, 8.34258027e-04,
       2.47582760e-03, 3.14206890e-03, 4.41382963e-03, 6.42634674e-03,
       1.71791208e-02, 1.54400395e-02, 1.85560032e-02, 2.87953013e-02,
       1.86897650e-01, 9.68238893e-02, 2.89982724e-01, 9.32641002e-01,
       5.27413937e-06]))","[1, 0]",0.0034144359550928316,"[array([ 1.2686501 , -1.31378564])]","('match', 'MATCH_WITH_FOIL')",0.0729
NO_MATCH_NO_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 1., 0., 0., 0., 0., 0.]), array([9.55262132e-01, 3.40603991e-05, 3.12159982e-05, 9.13243449e-05,
       2.86286818e-04, 6.69941843e-04, 6.02149199e-04, 3.72677047e-04,
       8.44535075e-04, 1.67537366e-03, 4.15370304e-03, 3.82487844e-03,
       9.97180776e-03, 1.09307045e-02, 1.38399969e-02, 1.83075181e-02,
       4.31245674e-02, 3.32514186e-02, 3.70015481e-02, 5.43597026e-02,
       2.69005887e-01, 1.09312852e-01, 3.34694134e-01, 8.91961215e-01,
       1.00490911e-04]), array([9.94979024e-01, 6.08651416e-08, 6.39715011e-08, 1.69121402e-07,
       8.03550856e-07, 3.31748646e-06, 4.14907897e-06, 3.45954486e-06,
       7.87221622e-06, 1.99361019e-05, 7.91421512e-05, 1.00718959e-04,
       3.62454973e-04, 5.42186226e-04, 8.62100453e-04, 1.41135263e-03,
       4.52432078e-03, 4.75524888e-03, 6.25629577e-03, 1.05162311e-02,
       1.13870623e-01, 7.31950263e-02, 2.28429059e-01, 9.64002149e-01,
       1.04649300e-07]))","[0, 1]",0.012435713269932203,"[array([-1.4497218 ,  1.37305987])]","('non-match', 'NO_MATCH_NO_FOIL')",0.0577
NO_MATCH_WITH_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 1., 0., 0., 0., 0., 0.]), array([9.55262132e-01, 3.40603991e-05, 3.12159982e-05, 9.13243449e-05,
       2.86286818e-04, 6.69941843e-04, 6.02149199e-04, 3.72677047e-04,
       8.44535075e-04, 1.67537366e-03, 4.15370304e-03, 3.82487844e-03,
       9.97180776e-03, 1.09307045e-02, 1.38399969e-02, 1.83075181e-02,
       4.31245674e-02, 3.32514186e-02, 3.70015481e-02, 5.43597026e-02,
       2.69005887e-01, 1.09312852e-01, 3.34694134e-01, 8.91961215e-01,
       1.00490911e-04]), array([9.80016579e-01, 2.39835838e-06, 2.35537477e-06, 6.31485267e-06,
       2.32970921e-05, 6.91965922e-05, 7.29627848e-05, 5.28493019e-05,
       1.17063261e-04, 2.57113527e-04, 7.75146822e-04, 8.34258027e-04,
       2.47582760e-03, 3.14206890e-03, 4.41382963e-03, 6.42634674e-03,
       1.71791208e-02, 1.54400395e-02, 1.85560032e-02, 2.87953013e-02,
       1.86897650e-01, 9.68238893e-02, 2.89982724e-01, 9.32641002e-01,
       5.27413937e-06]))","[0, 1]",0.0034144359550928316,"[array([-1.4539167 ,  1.37668502])]","('non-match', 'NO_MATCH_WITH_FOIL')",0.0573
MATCH_NO_FOIL,"(array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([ 8.25193574e-01,  7.05338860e-04, -3.65445413e-04,  1.08321318e-02,
        2.96949660e-02,  4.45313615e-02,  2.43123510e-02,  4.69205945e-03,
        2.68166839e-02,  4.84357478e-02,  8.74807489e-02,  4.97897466e-02,
        1.17471674e-01,  8.61496401e-02,  8.63873731e-02,  9.43386360e-02,
        1.95855031e-01,  8.59833519e-02,  7.89417352e-02,  1.19375084e-01,
        4.85464189e-01,  4.06217368e-02,  3.53703818e-01,  7.18514886e-01,
        2.63239833e-02]), array([9.20963021e-01, 2.32943373e-04, 1.95081380e-04, 7.06177126e-04,
       2.00397918e-03, 3.90484023e-03, 3.00231163e-03, 1.52307986e-03,
       3.78877327e-03, 7.02877870e-03, 1.51020042e-02, 1.19498196e-02,
       2.87516262e-02, 2.75252648e-02, 3.19067223e-02, 3.90266361e-02,
       8.46086466e-02, 5.56404196e-02, 5.79113142e-02, 8.26839203e-02,
       3.52117484e-01, 1.05959791e-01, 3.60780786e-01, 8.42369246e-01,
       1.00947069e-03]))","[1, 0]",0.024852590291581045,"[array([ 1.28928154, -1.29114667])]","('match', 'MATCH_NO_FOIL')",0.0730
MATCH_WITH_FOIL,"(array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([ 8.25193574e-01,  7.05338860e-04, -3.65445413e-04,  1.08321318e-02,
        2.96949660e-02,  4.45313615e-02,  2.43123510e-02,  4.69205945e-03,
        2.68166839e-02,  4.84357478e-02,  8.74807489e-02,  4.97897466e-02,
        1.17471674e-01,  8.61496401e-02,  8.63873731e-02,  9.43386360e-02,
        1.95855031e-01,  8.59833519e-02,  7.89417352e-02,  1.19375084e-01,
        4.85464189e-01,  4.06217368e-02,  3.53703818e-01,  7.18514886e-01,
        2.63239833e-02]), array([8.77461953e-01, 7.98735693e-04, 5.45361934e-04, 3.38352165e-03,
       9.17499894e-03, 1.54630383e-02, 1.01145569e-02, 3.78838421e-03,
       1.17878434e-02, 2.11591670e-02, 4.09871784e-02, 2.77464852e-02,
       6.44726993e-02, 5.41383907e-02, 5.81399058e-02, 6.67517312e-02,
       1.38605720e-01, 7.62156335e-02, 7.46174189e-02, 1.06928933e-01,
       4.27186417e-01, 8.35384231e-02, 3.67202687e-01, 7.84360602e-01,
       6.26597444e-03]))","[1, 0]",0.007485742861016331,"[array([ 1.27235504, -1.27461934])]","('match', 'MATCH_WITH_FOIL')",0.0754
NO_MATCH_NO_FOIL,"(array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 1., 0., 0., 0., 0.]), array([ 8.25193574e-01,  7.05338860e-04, -3.65445413e-04,  1.08321318e-02,
        2.96949660e-02,  4.45313615e-02,  2.43123510e-02,  4.69205945e-03,
        2.68166839e-02,  4.84357478e-02,  8.74807489e-02,  4.97897466e-02,
        1.17471674e-01,  8.61496401e-02,  8.63873731e-02,  9.43386360e-02,
        1.95855031e-01,  8.59833519e-02,  7.89417352e-02,  1.19375084e-01,
        4.85464189e-01,  4.06217368e-02,  3.53703818e-01,  7.18514886e-01,
        2.63239833e-02]), array([9.20963021e-01, 2.32943373e-04, 1.95081380e-04, 7.06177126e-04,
       2.00397918e-03, 3.90484023e-03, 3.00231163e-03, 1.52307986e-03,
       3.78877327e-03, 7.02877870e-03, 1.51020042e-02, 1.19498196e-02,
       2.87516262e-02, 2.75252648e-02, 3.19067223e-02, 3.90266361e-02,
       8.46086466e-02, 5.56404196e-02, 5.79113142e-02, 8.26839203e-02,
       3.52117484e-01, 1.05959791e-01, 3.60780786e-01, 8.42369246e-01,
       1.00947069e-03]))","[0, 1]",0.024852590291581045,"[array([-1.53611191,  1.48953628])]","('non-match', 'NO_MATCH_NO_FOIL')",0.0474
NO_MATCH_WITH_FOIL,"(array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 1., 0., 0., 0., 0.]), array([ 8.25193574e-01,  7.05338860e-04, -3.65445413e-04,  1.08321318e-02,
        2.96949660e-02,  4.45313615e-02,  2.43123510e-02,  4.69205945e-03,
        2.68166839e-02,  4.84357478e-02,  8.74807489e-02,  4.97897466e-02,
        1.17471674e-01,  8.61496401e-02,  8.63873731e-02,  9.43386360e-02,
        1.95855031e-01,  8.59833519e-02,  7.89417352e-02,  1.19375084e-01,
        4.85464189e-01,  4.06217368e-02,  3.53703818e-01,  7.18514886e-01,
        2.63239833e-02]), array([8.77461953e-01, 7.98735693e-04, 5.45361934e-04, 3.38352165e-03,
       9.17499894e-03, 1.54630383e-02, 1.01145569e-02, 3.78838421e-03,
       1.17878434e-02, 2.11591670e-02, 4.09871784e-02, 2.77464852e-02,
       6.44726993e-02, 5.41383907e-02, 5.81399058e-02, 6.67517312e-02,
       1.38605720e-01, 7.62156335e-02, 7.46174189e-02, 1.06928933e-01,
       4.27186417e-01, 8.35384231e-02, 3.67202687e-01, 7.84360602e-01,
       6.26597444e-03]))","[0, 1]",0.007485742861016331,"[array([-1.55401435,  1.50663616])]","('non-match', 'NO_MATCH_WITH_FOIL')",0.0458
MATCH_NO_FOIL,"(array([0., 0., 1., 0., 0., 0., 0., 0.]), array([0., 0., 1., 0., 0., 0., 0., 0.]), array([ 0.62141293, -0.08466997, -0.10186024,  0.02984398,  0.18370458,
        0.21936788,  0.03569903, -0.10203999,  0.04007674,  0.1401242 ,
        0.25601391,  0.04645682,  0.24553739,  0.09170377,  0.06863113,
        0.06905436,  0.25408411, -0.01700883, -0.03719892,  0.03296163,
        0.5013593 , -0.19621912,  0.20287551,  0.48088576,  0.30215631]), array([ 0.76468013, -0.00581125, -0.00908644,  0.02388115,  0.07120194,
        0.09717693,  0.04236026, -0.00431722,  0.04531795,  0.08701349,
        0.15137946,  0.06949432,  0.17820258,  0.11208745,  0.10512786,
        0.11050887,  0.24263176,  0.07613207,  0.06354245,  0.11324279,
        0.5197573 , -0.02225627,  0.32082233,  0.64549001,  0.07923388]))","[1, 0]",0.0792625161540933,"[array([ 1.17009012, -1.18094919])]","('match', 'MATCH_NO_FOIL')",0.0910
MATCH_WITH_FOIL,"(array([0., 0., 1., 0., 0., 0., 0., 0.]), array([0., 0., 1., 0., 0., 0., 0., 0.]), array([ 0.62141293, -0.08466997, -0.10186024,  0.02984398,  0.18370458,
        0.21936788,  0.03569903, -0.10203999,  0.04007674,  0.1401242 ,
        0.25601391,  0.04645682,  0.24553739,  0.09170377,  0.06863113,
        0.06905436,  0.25408411, -0.01700883, -0.03719892,  0.03296163,
        0.5013593 , -0.19621912,  0.20287551,  0.48088576,  0.30215631]), array([ 0.69652626, -0.03102307, -0.03909652,  0.03546637,  0.13008622,
        0.16467435,  0.05161988, -0.03691599,  0.05508904,  0.12426721,
        0.21604144,  0.07250928,  0.22775973,  0.11732939,  0.10164925,
        0.10399734,  0.26501683,  0.04144358,  0.02442709,  0.08446382,
        0.52548292, -0.10261534,  0.26986912,  0.56601561,  0.17730999]))","[1, 0]",0.025729736483430576,"[array([ 1.15008221, -1.16167493])]","('match', 'MATCH_WITH_FOIL')",0.0945
