condition,inputs,target,context distance,results,coded response,ce loss
MATCH_NO_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0., 0., 0., 0.]), array([4.19872033e-01, 3.76393896e-05, 2.33262602e-05, 1.64061615e-05,
       2.55023390e-05, 1.10266607e-04, 1.03283263e-04, 1.84245090e-04,
       2.75146933e-04, 3.76133781e-04, 1.69772928e-03, 1.54799235e-03,
       7.40649472e-04, 5.25781958e-03, 1.72787650e-02, 2.16222093e-02,
       1.32605688e-02, 2.04404102e-02, 1.18599312e-01, 5.70382214e-02,
       1.93162659e-01, 1.72994603e-01, 8.80730758e-02, 9.51993463e-01,
       3.14472244e-05]), array([5.91811516e-01, 1.32714366e-08, 1.13274728e-08, 1.01457395e-08,
       1.53730596e-08, 8.13023541e-08, 1.04303475e-07, 2.32560829e-07,
       4.58772033e-07, 8.18425261e-07, 9.62729867e-06, 1.26147056e-05,
       8.77736471e-06, 7.44348907e-05, 6.12995957e-04, 1.12956995e-03,
       9.55466275e-04, 1.58433347e-03, 2.14012581e-02, 1.56936568e-02,
       6.02562457e-02, 7.22019928e-02, 5.23644505e-02, 9.93833304e-01,
       7.18157712e-09]))","[1, 0]",0.0265067786672174,"[array([0.00425869, 0.02079331])]","('non-match', 'MATCH_NO_FOIL')",0.7014
MATCH_WITH_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0., 0., 0., 0.]), array([4.19872033e-01, 3.76393896e-05, 2.33262602e-05, 1.64061615e-05,
       2.55023390e-05, 1.10266607e-04, 1.03283263e-04, 1.84245090e-04,
       2.75146933e-04, 3.76133781e-04, 1.69772928e-03, 1.54799235e-03,
       7.40649472e-04, 5.25781958e-03, 1.72787650e-02, 2.16222093e-02,
       1.32605688e-02, 2.04404102e-02, 1.18599312e-01, 5.70382214e-02,
       1.93162659e-01, 1.72994603e-01, 8.80730758e-02, 9.51993463e-01,
       3.14472244e-05]), array([5.08381565e-01, 1.52770822e-06, 1.11641465e-06, 8.95260162e-07,
       1.34489638e-06, 6.14030380e-06, 6.69118782e-06, 1.31169911e-05,
       2.21893803e-05, 3.42273866e-05, 2.15337367e-04, 2.33851264e-04,
       1.37360487e-04, 9.88992225e-04, 4.59619278e-03, 6.88408576e-03,
       4.98378615e-03, 7.85043982e-03, 6.01065799e-02, 3.59786228e-02,
       1.25382458e-01, 1.29316154e-01, 8.00231597e-02, 9.77798302e-01,
       1.03623275e-06]))","[1, 0]",0.0074681607173860964,"[array([0.00465614, 0.02078734])]","('non-match', 'MATCH_WITH_FOIL')",0.7012
NO_MATCH_NO_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 1., 0., 0.]), array([4.19872033e-01, 3.76393896e-05, 2.33262602e-05, 1.64061615e-05,
       2.55023390e-05, 1.10266607e-04, 1.03283263e-04, 1.84245090e-04,
       2.75146933e-04, 3.76133781e-04, 1.69772928e-03, 1.54799235e-03,
       7.40649472e-04, 5.25781958e-03, 1.72787650e-02, 2.16222093e-02,
       1.32605688e-02, 2.04404102e-02, 1.18599312e-01, 5.70382214e-02,
       1.93162659e-01, 1.72994603e-01, 8.80730758e-02, 9.51993463e-01,
       3.14472244e-05]), array([5.91811516e-01, 1.32714366e-08, 1.13274728e-08, 1.01457395e-08,
       1.53730596e-08, 8.13023541e-08, 1.04303475e-07, 2.32560829e-07,
       4.58772033e-07, 8.18425261e-07, 9.62729867e-06, 1.26147056e-05,
       8.77736471e-06, 7.44348907e-05, 6.12995957e-04, 1.12956995e-03,
       9.55466275e-04, 1.58433347e-03, 2.14012581e-02, 1.56936568e-02,
       6.02562457e-02, 7.22019928e-02, 5.23644505e-02, 9.93833304e-01,
       7.18157712e-09]))","[0, 1]",0.0265067786672174,"[array([0.00698625, 0.01710044])]","('non-match', 'NO_MATCH_NO_FOIL')",0.6881
NO_MATCH_WITH_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 1., 0., 0.]), array([4.19872033e-01, 3.76393896e-05, 2.33262602e-05, 1.64061615e-05,
       2.55023390e-05, 1.10266607e-04, 1.03283263e-04, 1.84245090e-04,
       2.75146933e-04, 3.76133781e-04, 1.69772928e-03, 1.54799235e-03,
       7.40649472e-04, 5.25781958e-03, 1.72787650e-02, 2.16222093e-02,
       1.32605688e-02, 2.04404102e-02, 1.18599312e-01, 5.70382214e-02,
       1.93162659e-01, 1.72994603e-01, 8.80730758e-02, 9.51993463e-01,
       3.14472244e-05]), array([5.08381565e-01, 1.52770822e-06, 1.11641465e-06, 8.95260162e-07,
       1.34489638e-06, 6.14030380e-06, 6.69118782e-06, 1.31169911e-05,
       2.21893803e-05, 3.42273866e-05, 2.15337367e-04, 2.33851264e-04,
       1.37360487e-04, 9.88992225e-04, 4.59619278e-03, 6.88408576e-03,
       4.98378615e-03, 7.85043982e-03, 6.01065799e-02, 3.59786228e-02,
       1.25382458e-01, 1.29316154e-01, 8.00231597e-02, 9.77798302e-01,
       1.03623275e-06]))","[0, 1]",0.0074681607173860964,"[array([0.00706886, 0.01698282])]","('non-match', 'NO_MATCH_WITH_FOIL')",0.6882
MATCH_NO_FOIL,"(array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([ 1.32909864e-01,  9.19552234e-03,  2.45134327e-03, -1.13513216e-04,
        2.10306373e-03,  1.62746566e-02,  9.58219841e-03,  1.55059067e-02,
        1.79499511e-02,  1.88066126e-02,  5.77805337e-02,  3.09877963e-02,
        3.40098738e-04,  8.40147513e-02,  1.57805078e-01,  1.24758574e-01,
        3.21968462e-02,  6.69504792e-02,  3.51053158e-01,  5.58421340e-02,
        3.30350371e-01,  1.86546582e-01, -4.68538903e-03,  8.19009934e-01,
        1.41962082e-02]), array([3.27167278e-01, 4.02129819e-04, 2.05880807e-04, 1.19555513e-04,
       2.07865628e-04, 9.31372874e-04, 7.53400989e-04, 1.26049230e-03,
       1.69959433e-03, 2.09828651e-03, 7.73106967e-03, 5.94998064e-03,
       2.13382510e-03, 1.75618107e-02, 4.53010347e-02, 4.82342802e-02,
       2.43804622e-02, 3.81780167e-02, 1.93088895e-01, 7.19811106e-02,
       2.55145218e-01, 1.98709059e-01, 7.61932739e-02, 9.16676620e-01,
       4.10754718e-04]))","[1, 0]",0.05240248002960424,"[array([-0.0027569 ,  0.01795815])]","('non-match', 'MATCH_NO_FOIL')",0.7036
MATCH_WITH_FOIL,"(array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([ 1.32909864e-01,  9.19552234e-03,  2.45134327e-03, -1.13513216e-04,
        2.10306373e-03,  1.62746566e-02,  9.58219841e-03,  1.55059067e-02,
        1.79499511e-02,  1.88066126e-02,  5.77805337e-02,  3.09877963e-02,
        3.40098738e-04,  8.40147513e-02,  1.57805078e-01,  1.24758574e-01,
        3.21968462e-02,  6.69504792e-02,  3.51053158e-01,  5.58421340e-02,
        3.30350371e-01,  1.86546582e-01, -4.68538903e-03,  8.19009934e-01,
        1.41962082e-02]), array([2.31193576e-01, 2.41113854e-03, 9.60553876e-04, 3.72388598e-04,
       9.03484389e-04, 4.73008405e-03, 3.29166834e-03, 5.32252421e-03,
       6.59909912e-03, 7.46546501e-03, 2.43340365e-02, 1.57545629e-02,
       3.34433835e-03, 4.31493591e-02, 9.29685834e-02, 8.51441996e-02,
       3.33136084e-02, 5.62461183e-02, 2.74720703e-01, 7.35298071e-02,
       3.03119712e-01, 2.03560998e-01, 4.48573644e-02, 8.72200647e-01,
       3.01363045e-03]))","[1, 0]",0.015178800034481355,"[array([-0.0033809 ,  0.01803947])]","('non-match', 'MATCH_WITH_FOIL')",0.7039
NO_MATCH_NO_FOIL,"(array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 1., 0., 0.]), array([ 1.32909864e-01,  9.19552234e-03,  2.45134327e-03, -1.13513216e-04,
        2.10306373e-03,  1.62746566e-02,  9.58219841e-03,  1.55059067e-02,
        1.79499511e-02,  1.88066126e-02,  5.77805337e-02,  3.09877963e-02,
        3.40098738e-04,  8.40147513e-02,  1.57805078e-01,  1.24758574e-01,
        3.21968462e-02,  6.69504792e-02,  3.51053158e-01,  5.58421340e-02,
        3.30350371e-01,  1.86546582e-01, -4.68538903e-03,  8.19009934e-01,
        1.41962082e-02]), array([3.27167278e-01, 4.02129819e-04, 2.05880807e-04, 1.19555513e-04,
       2.07865628e-04, 9.31372874e-04, 7.53400989e-04, 1.26049230e-03,
       1.69959433e-03, 2.09828651e-03, 7.73106967e-03, 5.94998064e-03,
       2.13382510e-03, 1.75618107e-02, 4.53010347e-02, 4.82342802e-02,
       2.43804622e-02, 3.81780167e-02, 1.93088895e-01, 7.19811106e-02,
       2.55145218e-01, 1.98709059e-01, 7.61932739e-02, 9.16676620e-01,
       4.10754718e-04]))","[0, 1]",0.05240248002960424,"[array([-0.0026463,  0.0150403])]","('non-match', 'NO_MATCH_NO_FOIL')",0.6843
NO_MATCH_WITH_FOIL,"(array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 1., 0., 0.]), array([ 1.32909864e-01,  9.19552234e-03,  2.45134327e-03, -1.13513216e-04,
        2.10306373e-03,  1.62746566e-02,  9.58219841e-03,  1.55059067e-02,
        1.79499511e-02,  1.88066126e-02,  5.77805337e-02,  3.09877963e-02,
        3.40098738e-04,  8.40147513e-02,  1.57805078e-01,  1.24758574e-01,
        3.21968462e-02,  6.69504792e-02,  3.51053158e-01,  5.58421340e-02,
        3.30350371e-01,  1.86546582e-01, -4.68538903e-03,  8.19009934e-01,
        1.41962082e-02]), array([2.31193576e-01, 2.41113854e-03, 9.60553876e-04, 3.72388598e-04,
       9.03484389e-04, 4.73008405e-03, 3.29166834e-03, 5.32252421e-03,
       6.59909912e-03, 7.46546501e-03, 2.43340365e-02, 1.57545629e-02,
       3.34433835e-03, 4.31493591e-02, 9.29685834e-02, 8.51441996e-02,
       3.33136084e-02, 5.62461183e-02, 2.74720703e-01, 7.35298071e-02,
       3.03119712e-01, 2.03560998e-01, 4.48573644e-02, 8.72200647e-01,
       3.01363045e-03]))","[0, 1]",0.015178800034481355,"[array([-0.00368312,  0.01476925])]","('non-match', 'NO_MATCH_WITH_FOIL')",0.6840
MATCH_NO_FOIL,"(array([0., 0., 1., 0., 0., 0., 0., 0.]), array([0., 0., 1., 0., 0., 0., 0., 0.]), array([-0.16592475,  0.05542291, -0.0321401 , -0.06546837, -0.0389213 ,
        0.1083978 ,  0.0207526 ,  0.06170168,  0.06237306,  0.05156685,
        0.21113549,  0.03978332, -0.10425972,  0.21044136,  0.3133332 ,
        0.14415039, -0.08797078, -0.01123652,  0.42970529, -0.11933319,
        0.2613136 ,  0.02345026, -0.23967258,  0.61286669,  0.19659085]), array([ 0.03329816,  0.02384224,  0.0022924 , -0.00558837,  0.00117801,
        0.04052077,  0.01938366,  0.03298427,  0.03611988,  0.03526108,
        0.1086593 ,  0.04656044, -0.01434146,  0.13491564,  0.22827656,
        0.15495705,  0.01315221,  0.06207496,  0.40877312,  0.01616063,
        0.33260608,  0.14865203, -0.07045987,  0.75763594,  0.04638528]))","[1, 0]",0.10465010299518218,"[array([-0.00078354,  0.01981427])]","('non-match', 'MATCH_NO_FOIL')",0.7035
MATCH_WITH_FOIL,"(array([0., 0., 1., 0., 0., 0., 0., 0.]), array([0., 0., 1., 0., 0., 0., 0., 0.]), array([-0.16592475,  0.05542291, -0.0321401 , -0.06546837, -0.0389213 ,
        0.1083978 ,  0.0207526 ,  0.06170168,  0.06237306,  0.05156685,
        0.21113549,  0.03978332, -0.10425972,  0.21044136,  0.3133332 ,
        0.14415039, -0.08797078, -0.01123652,  0.42970529, -0.11933319,
        0.2613136 ,  0.02345026, -0.23967258,  0.61286669,  0.19659085]), array([-0.06664625,  0.04338038, -0.0066518 , -0.02488098, -0.00942522,
        0.07578041,  0.02671614,  0.05244203,  0.05493338,  0.0498813 ,
        0.16648733,  0.05260163, -0.04851925,  0.18262496,  0.2861465 ,
        0.16360726, -0.02786055,  0.03606235,  0.43692232, -0.04413079,
        0.30882568,  0.09277084, -0.14984387,  0.68869191,  0.11027543]))","[1, 0]",0.030182631284798922,"[array([-0.00242893,  0.0193174 ])]","('non-match', 'MATCH_WITH_FOIL')",0.7041
