condition,inputs,target,context distance,results,coded response,ce loss
MATCH_NO_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0., 0., 0., 0.]), array([5.71489948e-01, 2.39214841e-04, 2.09674624e-04, 2.68723247e-04,
       2.86190841e-04, 4.40080989e-04, 8.16537865e-04, 2.23224649e-03,
       4.19981293e-03, 5.62805781e-03, 1.06832720e-02, 1.13243578e-02,
       6.63730074e-03, 1.18185777e-02, 2.35669368e-02, 3.32519023e-02,
       1.46579649e-01, 7.36959714e-02, 1.02862721e-01, 1.02874111e-01,
       9.12392795e-02, 6.51846163e-01, 4.63889030e-01, 5.48958828e-01,
       1.64566853e-04]), array([7.23128052e-01, 4.55526449e-07, 5.36422852e-07, 8.20491890e-07,
       1.06220027e-06, 1.89276262e-06, 4.43592698e-06, 2.00958879e-05,
       6.00054264e-05, 1.12485368e-04, 2.98255441e-04, 4.23126231e-04,
       3.39861088e-04, 6.11873025e-04, 1.43625974e-03, 2.63173714e-03,
       2.94007091e-02, 2.23395309e-02, 3.40356951e-02, 4.04323998e-02,
       4.29045362e-02, 4.94614052e-01, 5.03616662e-01, 7.04073839e-01,
       1.93985744e-07]))","[1, 0]",0.03369920496044687,"[array([12.22972538,  5.30088168])]","('match', 'MATCH_NO_FOIL')",0.0010
MATCH_WITH_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([1., 0., 0., 0., 0., 0., 0., 0.]), array([5.71489948e-01, 2.39214841e-04, 2.09674624e-04, 2.68723247e-04,
       2.86190841e-04, 4.40080989e-04, 8.16537865e-04, 2.23224649e-03,
       4.19981293e-03, 5.62805781e-03, 1.06832720e-02, 1.13243578e-02,
       6.63730074e-03, 1.18185777e-02, 2.35669368e-02, 3.32519023e-02,
       1.46579649e-01, 7.36959714e-02, 1.02862721e-01, 1.02874111e-01,
       9.12392795e-02, 6.51846163e-01, 4.63889030e-01, 5.48958828e-01,
       1.64566853e-04]), array([6.50559086e-01, 1.70098543e-05, 1.72112465e-05, 2.38639960e-05,
       2.78529341e-05, 4.54923835e-05, 9.31387641e-05, 3.12763234e-04,
       7.20279967e-04, 1.12594285e-03, 2.47005433e-03, 3.00543645e-03,
       2.08162451e-03, 3.65247727e-03, 7.75324942e-03, 1.23071279e-02,
       7.51456874e-02, 4.67561360e-02, 6.73329145e-02, 7.30868334e-02,
       7.08933184e-02, 5.80504015e-01, 4.93518253e-01, 6.29662021e-01,
       9.34981117e-06]))","[1, 0]",0.009597920226702139,"[array([12.03785946,  5.72427782])]","('match', 'MATCH_WITH_FOIL')",0.0018
NO_MATCH_NO_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 1., 0., 0., 0., 0., 0.]), array([5.71489948e-01, 2.39214841e-04, 2.09674624e-04, 2.68723247e-04,
       2.86190841e-04, 4.40080989e-04, 8.16537865e-04, 2.23224649e-03,
       4.19981293e-03, 5.62805781e-03, 1.06832720e-02, 1.13243578e-02,
       6.63730074e-03, 1.18185777e-02, 2.35669368e-02, 3.32519023e-02,
       1.46579649e-01, 7.36959714e-02, 1.02862721e-01, 1.02874111e-01,
       9.12392795e-02, 6.51846163e-01, 4.63889030e-01, 5.48958828e-01,
       1.64566853e-04]), array([7.23128052e-01, 4.55526449e-07, 5.36422852e-07, 8.20491890e-07,
       1.06220027e-06, 1.89276262e-06, 4.43592698e-06, 2.00958879e-05,
       6.00054264e-05, 1.12485368e-04, 2.98255441e-04, 4.23126231e-04,
       3.39861088e-04, 6.11873025e-04, 1.43625974e-03, 2.63173714e-03,
       2.94007091e-02, 2.23395309e-02, 3.40356951e-02, 4.04323998e-02,
       4.29045362e-02, 4.94614052e-01, 5.03616662e-01, 7.04073839e-01,
       1.93985744e-07]))","[0, 1]",0.03369920496044687,"[array([ 4.82152402, 12.52117445])]","('non-match', 'NO_MATCH_NO_FOIL')",0.0005
NO_MATCH_WITH_FOIL,"(array([1., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 1., 0., 0., 0., 0., 0.]), array([5.71489948e-01, 2.39214841e-04, 2.09674624e-04, 2.68723247e-04,
       2.86190841e-04, 4.40080989e-04, 8.16537865e-04, 2.23224649e-03,
       4.19981293e-03, 5.62805781e-03, 1.06832720e-02, 1.13243578e-02,
       6.63730074e-03, 1.18185777e-02, 2.35669368e-02, 3.32519023e-02,
       1.46579649e-01, 7.36959714e-02, 1.02862721e-01, 1.02874111e-01,
       9.12392795e-02, 6.51846163e-01, 4.63889030e-01, 5.48958828e-01,
       1.64566853e-04]), array([6.50559086e-01, 1.70098543e-05, 1.72112465e-05, 2.38639960e-05,
       2.78529341e-05, 4.54923835e-05, 9.31387641e-05, 3.12763234e-04,
       7.20279967e-04, 1.12594285e-03, 2.47005433e-03, 3.00543645e-03,
       2.08162451e-03, 3.65247727e-03, 7.75324942e-03, 1.23071279e-02,
       7.51456874e-02, 4.67561360e-02, 6.73329145e-02, 7.30868334e-02,
       7.08933184e-02, 5.80504015e-01, 4.93518253e-01, 6.29662021e-01,
       9.34981117e-06]))","[0, 1]",0.009597920226702139,"[array([ 4.90283205, 12.66452293])]","('non-match', 'NO_MATCH_WITH_FOIL')",0.0004
MATCH_NO_FOIL,"(array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0.30345864, 0.02811046, 0.01530892, 0.01713788, 0.01400564,
       0.02178688, 0.03651904, 0.07322634, 0.09077847, 0.08400124,
       0.12386514, 0.08895665, 0.01481556, 0.06079315, 0.13140837,
       0.1447119 , 0.43453744, 0.0783058 , 0.13243552, 0.09843481,
       0.04857647, 0.73021577, 0.27321017, 0.27743001, 0.03561267]), array([0.48671067, 0.0018146 , 0.00137857, 0.00166136, 0.00162622,
       0.00241901, 0.00419893, 0.00992108, 0.01584371, 0.01855858,
       0.031525  , 0.02937994, 0.01392257, 0.02670528, 0.05195489,
       0.06648216, 0.23972947, 0.09437774, 0.13162172, 0.1215668 ,
       0.09735461, 0.70305794, 0.41591022, 0.46277062, 0.00153647]))","[1, 0]",0.07274239508717184,"[array([13.17170894,  5.71407092])]","('match', 'MATCH_NO_FOIL')",0.0006
MATCH_WITH_FOIL,"(array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0., 1., 0., 0., 0., 0., 0., 0.]), array([0.30345864, 0.02811046, 0.01530892, 0.01713788, 0.01400564,
       0.02178688, 0.03651904, 0.07322634, 0.09077847, 0.08400124,
       0.12386514, 0.08895665, 0.01481556, 0.06079315, 0.13140837,
       0.1447119 , 0.43453744, 0.0783058 , 0.13243552, 0.09843481,
       0.04857647, 0.73021577, 0.27321017, 0.27743001, 0.03561267]), array([0.39706834, 0.0086497 , 0.00564031, 0.00649588, 0.00584691,
       0.00868759, 0.01455555, 0.03108094, 0.04329457, 0.04491377,
       0.07019356, 0.05764042, 0.01972043, 0.04579803, 0.09090857,
       0.10721534, 0.34204894, 0.09862129, 0.14398065, 0.12170427,
       0.08406127, 0.72997432, 0.35149458, 0.37195856, 0.00895235]))","[1, 0]",0.021568815686195952,"[array([13.07498113,  6.04360676])]","('match', 'MATCH_WITH_FOIL')",0.0009
MATCH_NO_FOIL,"(array([0., 0., 0., 1., 0., 0., 0., 0.]), array([0., 0., 0., 1., 0., 0., 0., 0.]), array([-0.28756131,  0.02411028, -0.0996516 , -0.09631574, -0.13068084,
       -0.08493572, -0.01264613,  0.09367915,  0.05864192, -0.01831066,
        0.02648757, -0.07950369, -0.25595798, -0.17329784, -0.04216116,
       -0.05285144,  0.20519349, -0.27983551, -0.23856117, -0.30731678,
       -0.42199771,  0.28033513, -0.29116919, -0.31350504,  0.35294213]), array([-0.09155125,  0.12587541, -0.03548836, -0.02684397, -0.06298992,
       -0.00400718,  0.08221862,  0.22046855,  0.18844728,  0.08988802,
        0.15424821,  0.00939611, -0.20580277, -0.0831558 ,  0.07728322,
        0.06515237,  0.40777392, -0.19688269, -0.12460247, -0.18070151,
       -0.26467159,  0.48632248, -0.11062946, -0.11860209,  0.45801524]))","[1, 0]",0.19617763394508048,"[array([8.4930611 , 2.69445444])]","('match', 'MATCH_NO_FOIL')",0.0030
MATCH_WITH_FOIL,"(array([0., 0., 0., 1., 0., 0., 0., 0.]), array([0., 0., 0., 1., 0., 0., 0., 0.]), array([-0.28756131,  0.02411028, -0.0996516 , -0.09631574, -0.13068084,
       -0.08493572, -0.01264613,  0.09367915,  0.05864192, -0.01831066,
        0.02648757, -0.07950369, -0.25595798, -0.17329784, -0.04216116,
       -0.05285144,  0.20519349, -0.27983551, -0.23856117, -0.30731678,
       -0.42199771,  0.28033513, -0.29116919, -0.31350504,  0.35294213]), array([-0.19050803,  0.07726335, -0.08139631, -0.0738484 , -0.11171892,
       -0.05300527,  0.03398841,  0.16513864,  0.12592209,  0.03043826,
        0.08740065, -0.0457103 , -0.25108549, -0.14095439,  0.01294147,
        0.00088745,  0.30853807, -0.25349655, -0.19279699, -0.25388552,
       -0.35076287,  0.38510228, -0.20505895, -0.21713835,  0.4549966 ]))","[1, 0]",0.0469557676651583,"[array([8.44531061, 1.92455539])]","('match', 'MATCH_WITH_FOIL')",0.0015
MATCH_NO_FOIL,"(array([0., 0., 0., 0., 1., 0., 0., 0.]), array([0., 0., 0., 0., 1., 0., 0., 0.]), array([-0.55775591, -0.00801812, -0.02259784, -0.02585464, -0.03579518,
       -0.03379311, -0.02384264, -0.00557714, -0.01201185, -0.02664009,
       -0.01920627, -0.04287018, -0.1012706 , -0.10006581, -0.06751906,
       -0.07685236,  0.01287318, -0.18596425, -0.20979894, -0.3031335 ,
       -0.48448263,  0.01024237, -0.46771573, -0.58012481,  0.03396986]), array([-0.38174138, -0.00675907, -0.08359126, -0.08503179, -0.11217833,
       -0.08546548, -0.03704452,  0.03545497,  0.01096045, -0.04124994,
       -0.01096942, -0.08460943, -0.22131398, -0.172185  , -0.07451342,
       -0.08422602,  0.11583902, -0.27304602, -0.25569077, -0.33410066,
       -0.47079504,  0.17891501, -0.36552723, -0.40673929,  0.21251999]))","[1, 0]",0.07650592485396701,"[array([11.00045017,  0.20722348])]","('match', 'MATCH_NO_FOIL')",0.0000
MATCH_WITH_FOIL,"(array([0., 0., 0., 0., 1., 0., 0., 0.]), array([0., 0., 0., 0., 1., 0., 0., 0.]), array([-0.55775591, -0.00801812, -0.02259784, -0.02585464, -0.03579518,
       -0.03379311, -0.02384264, -0.00557714, -0.01201185, -0.02664009,
       -0.01920627, -0.04287018, -0.1012706 , -0.10006581, -0.06751906,
       -0.07685236,  0.01287318, -0.18596425, -0.20979894, -0.3031335 ,
       -0.48448263,  0.01024237, -0.46771573, -0.58012481,  0.03396986]), array([-0.47210722, -0.01300139, -0.05082661, -0.05459566, -0.07280986,
       -0.06217674, -0.03679341,  0.00388915, -0.009945  , -0.03996442,
       -0.02304654, -0.06779355, -0.16278237, -0.14298168, -0.08083849,
       -0.09035058,  0.05112093, -0.23816961, -0.24418974, -0.33188207,
       -0.4921846 ,  0.08715329, -0.42516865, -0.49590953,  0.09807771]))","[1, 0]",0.016532671466424453,"[array([10.6457371,  0.       ])]","('match', 'MATCH_WITH_FOIL')",0.0000
